DATE,temp,humidity,windspeed,precip,sealevelpressure
2013-04-14,28.7,39.7,22.3,2.0,1008.3
2013-04-15,28.6,41.7,17.6,0.0,1005.1
2013-04-16,31.7,30.7,27.7,0.0,1001.7
2013-04-17,29.9,27.4,22.3,0.0,1002.5
2013-04-18,30.6,23.7,12.4,0.0,1003.4
2013-04-19,30.3,27.2,14.8,0.0,1004.0
2013-04-20,30.6,27.8,16.0,0.0,1003.9
2013-04-21,28.4,39.5,27.7,0.0,1007.2
2013-04-22,26.9,49.5,22.3,0.0,1010.4
2013-04-23,29.1,42.8,14.0,0.0,1010.4
2013-04-24,30.8,38.8,11.2,0.0,1010.2
2013-04-25,31.5,39.1,20.5,0.0,1009.0
2013-04-26,30.9,41.5,27.5,0.0,1009.0
2013-04-27,31.8,32.7,24.1,0.0,1008.4
2013-04-28,31.2,29.6,25.9,0.0,1006.5
2013-04-29,32.8,24.3,17.3,0.0,1005.8
2013-04-30,32.9,31.3,18.4,0.0,1005.9
2013-05-13,30.8,45.3,14.5,0.0,1004.8
2013-05-14,33.7,31.8,46.4,0.0,1002.7
2013-05-15,33.8,29.6,16.3,0.0,1001.6
2013-05-16,34.4,27.0,21.2,0.1,1000.0
2013-05-17,34.4,25.0,20.9,0.0,1001.3
2013-05-18,35.9,22.2,38.2,0.0,1000.8
2013-05-19,36.7,19.2,25.8,0.0,1000.4
2013-05-20,37.4,17.7,22.7,0.0,1000.9
2013-05-21,37.1,18.4,24.3,0.0,1000.6
2013-05-22,37.2,18.2,25.3,0.0,1000.4
2013-05-23,38.2,19.1,24.8,0.0,998.8
2013-05-24,38.5,22.3,27.9,0.0,998.3
2013-05-25,38.1,23.7,21.1,0.0,999.4
2013-05-26,37.1,23.6,22.3,0.0,1000.3
2013-05-27,36.1,32.0,22.3,0.0,1000.7
2013-05-28,36.5,29.4,21.7,0.0,1001.3
2013-05-29,36.0,22.3,19.8,0.0,1001.1
2013-05-30,34.7,22.4,19.7,0.0,1000.3
2013-06-13,30.7,69.3,21.5,0.0,999.4
2013-06-14,31.4,64.0,24.1,10.208,999.0
2013-06-15,30.6,68.2,23.3,5.104,998.8
2013-06-16,27.0,90.9,26.6,38.279,997.8
2013-06-17,27.2,87.2,16.6,26.37,995.1
2013-06-18,28.1,90.8,14.8,0.1,997.8
2013-06-19,29.8,73.6,15.3,4.253,999.8
2013-06-20,33.0,56.7,13.0,0.5,999.1
2013-06-21,35.4,48.7,19.0,0.0,996.9
2013-06-22,35.5,43.9,20.5,0.0,997.4
2013-06-23,35.3,53.6,22.3,0.0,997.0
2013-06-24,33.8,60.9,22.3,0.0,997.0
2013-06-25,30.5,74.9,24.1,0.0,999.8
2013-06-26,30.5,75.8,14.8,0.4,999.9
2013-06-27,31.4,70.5,20.2,1.701,998.1
2013-06-28,30.6,72.0,20.5,0.0,997.4
2013-06-30,32.5,57.1,20.9,0.0,998.5
2013-07-13,31.3,76.4,15.5,0.0,999.9
2013-07-14,31.0,77.6,14.0,3.403,998.8
2013-07-15,31.3,76.7,18.4,0.0,999.3
2013-07-16,30.2,81.5,10.9,28.072,999.9
2013-07-17,30.6,83.6,13.0,0.6,999.4
2013-07-18,30.7,84.1,11.2,5.955,997.3
2013-07-19,31.2,76.9,18.4,0.0,995.7
2013-07-20,27.1,92.2,18.4,120.312,999.5
2013-07-21,28.8,86.4,13.7,0.2,997.7
2013-07-22,28.7,91.0,16.6,0.851,997.5
2013-07-23,30.4,80.0,14.8,0.766,999.4
2013-07-24,30.5,83.4,18.4,16.162,998.4
2013-07-25,28.6,88.4,20.5,9.0,996.7
2013-07-26,29.6,81.3,16.6,0.0,996.2
2013-07-27,29.5,85.5,13.3,14.461,998.3
2013-07-29,31.2,79.2,14.8,24.669,999.1
2013-07-30,29.9,85.9,16.6,0.5,998.3
2013-07-31,28.3,86.3,16.2,0.5,997.6
2013-08-13,29.3,87.1,22.3,0.1,1001.1
2013-08-14,29.0,85.3,18.4,5.955,1001.2
2013-08-16,27.0,93.9,14.0,52.74,1001.7
2013-08-17,27.5,93.3,11.4,44.428,1000.2
2013-08-18,28.1,89.9,12.2,0.17,1000.4
2013-08-19,28.3,91.9,16.7,12.701,1001.4
2013-08-20,27.5,92.5,18.4,86.636,1000.2
2013-08-21,28.8,86.7,16.6,0.425,999.9
2013-08-22,27.9,86.6,13.7,3.232,1002.3
2013-08-23,30.2,80.8,10.1,0.1,1002.2
2013-08-24,31.6,75.7,14.8,0.0,1002.1
2013-08-25,30.8,82.4,7.6,11.058,1000.9
2013-08-26,31.4,78.4,14.7,0.1,999.5
2013-08-27,31.1,73.4,26.8,0.1,1000.4
2013-08-28,29.5,72.0,15.0,0.0,1004.2
2013-08-31,27.9,81.9,18.4,0.5,1004.3
2013-09-13,30.5,71.2,7.8,0.0,1008.6
2013-09-14,31.2,69.5,16.6,0.0,1005.8
2013-09-16,29.5,66.2,18.4,0.0,1003.4
2013-09-17,29.5,61.4,14.0,0.0,1003.9
2013-09-18,29.6,63.0,18.4,0.0,1003.7
2013-09-19,29.8,66.7,11.9,0.0,1003.5
2013-09-20,29.0,72.9,26.1,1.1,1003.7
2013-09-22,28.9,77.6,16.8,0.0,1003.1
2013-09-23,30.0,74.4,12.2,0.0,1002.4
2013-09-25,28.8,76.2,14.8,27.221,1005.7
2013-09-26,28.1,81.5,15.6,2.3,1007.6
2013-09-27,28.5,78.6,19.1,0.34,1006.7
2013-09-28,29.4,74.3,11.2,0.0,1006.0
2013-09-29,28.4,81.2,14.8,24.669,1004.8
2013-09-30,27.0,84.7,16.6,3.925,1005.5
2013-10-13,27.4,79.4,7.6,0.851,1008.9
2013-10-14,27.7,77.4,18.4,0.0,1008.0
2013-10-15,26.7,74.3,14.8,0.0,1009.1
2013-10-17,27.5,71.3,9.4,0.0,1010.4
2013-10-18,27.3,72.4,12.2,0.0,1011.4
2013-10-19,25.8,66.3,15.5,0.0,1012.0
2013-10-20,25.2,64.1,9.4,0.0,1011.6
2013-10-21,24.8,63.8,12.7,0.0,1009.8
2013-10-22,24.9,65.6,9.4,0.0,1011.4
2013-10-23,25.2,67.6,11.2,0.0,1013.5
2013-10-24,25.0,69.1,8.6,0.0,1013.7
2013-10-25,24.1,71.4,11.2,0.0,1011.9
2013-10-26,24.2,71.7,8.3,0.0,1011.6
2013-10-27,22.9,69.5,11.7,0.0,1010.9
2013-10-28,23.1,62.2,16.6,0.0,1010.2
2013-10-29,22.8,63.9,10.9,0.0,1011.4
2013-10-30,23.7,60.4,16.6,0.0,1012.9
2013-10-31,24.5,57.8,14.0,0.0,1013.8
2013-11-13,17.7,61.2,16.6,0.0,1014.4
2013-11-14,17.1,59.4,14.8,0.0,1014.9
2013-11-15,17.3,59.5,11.2,0.0,1016.2
2013-11-16,17.2,61.5,7.6,0.0,1017.7
2013-11-17,16.9,58.1,15.8,0.0,1017.8
2013-11-18,17.7,53.8,18.4,0.0,1016.8
2013-11-19,18.1,56.1,19.9,0.0,1015.5
2013-11-20,18.2,55.9,10.7,0.0,1013.2
2013-11-21,18.9,59.7,13.0,0.0,1012.3
2013-11-22,18.3,69.0,9.4,0.0,1015.3
2013-11-23,18.3,69.8,10.9,0.0,1014.8
2013-11-24,18.8,60.5,14.5,0.0,1014.6
2013-11-25,19.6,58.8,22.3,0.0,1013.4
2013-11-26,20.1,56.0,22.3,0.0,1012.0
2013-11-27,19.4,60.9,13.0,0.0,1014.0
2013-11-28,19.1,62.7,13.0,0.0,1017.2
2013-11-29,17.9,65.2,19.8,0.0,1017.2
2013-11-30,17.7,61.5,19.9,0.0,1015.6
2013-12-13,16.0,66.5,22.3,0.0,1012.0
2013-12-14,15.4,73.6,10.4,0.0,1012.4
2013-12-15,16.3,74.0,13.0,0.0,1014.3
2013-12-16,15.7,83.3,6.6,0.0,1015.1
2013-12-17,15.3,87.8,8.6,0.0,1014.1
2013-12-18,15.2,91.6,12.2,0.0,1012.4
2013-12-19,16.2,88.2,14.0,0.0,1012.2
2013-12-20,15.0,93.6,13.0,0.0,1015.4
2013-12-21,14.2,96.6,11.2,0.0,1016.5
2013-12-22,15.1,93.2,11.2,0.0,1017.9
2013-12-23,14.0,93.3,18.1,0.0,1020.0
2013-12-24,12.6,87.0,18.4,0.0,1021.1
2013-12-25,12.3,68.9,25.7,0.0,1020.2
2013-12-26,12.2,62.1,17.7,0.0,1019.3
2013-12-27,12.1,69.6,12.5,0.17,1018.1
2013-12-28,11.6,61.5,16.2,0.0,1018.5
